TBESG - Translators Brief lexicon of Extended Strongs for Greek - STEPBible.org CC BY
See also:
TFLSJ - Translators Formatted full LSJ Bible lexicon 0-5624 - STEPBible.org CC BY	
TFLSJ - Translators Formatted full LSJ Bible lexicon extra - STEPBible.org CC BY
=======================================================
Lexicons for the tagged texts used by STEPBible, based on BHS for OT and LSJ for NT, backwardly compatible for any tagging based on Strong numbers. 
Extended Strongs for Greek is backwardly compatible with original Strong and NASB, and extended to include all NT variants and LXX + variants.
The Brief lexicon is based on the Abbott-Smith definitions, and is edited to conform with the extended Strongs. For a few words where Abbott-Smith lacks a definition, one is supplied  from MiddleLiddel (MD) or STEPBible scholars
The Full lexicon is edited from the Full LSJ by Tyndale House scholars, formatted to make it easy to read, with expansion of abbreviations and revealing examples from Greek literature on hover over dates of the earliest source (added by Tyndale House)

	==============================================================												
	Data created by www.STEPBible.org based on work at  Tyndale House Cambridge (CC BY 4.0)												
	==============================================================												
	This licence allows you to:												
	* Include any part of this data in software or publications without requesting permission 												
	* Download the data and reformat it for your application, without changing the data												
	* Send any proposed corrections to STEPBibleATGmail.com. to be verified 												
	  (You MAY make changes yourself, but you should include a note of changes that can be viewed by those who use your new data)												
	* Refer others to github.com/STEPBible as the source of the data. Please do not redistribute it yourself. 												
	  (Updates or corrections are easier to implement when the data is distributed from a single source)												
	* We'd love to hear about your project when you make it available. Email us at STEPBibleATGmail.com.												
	==============================================================												



Fields: 
=====

* EStrong# = Extended Strong's Numbers: 
 - G0001 - G5624 Strongs numbers from original set made by Strong for Greek behind the KJV  
   (G3203-G3302 which aren't used for some reason)
 - G5627 - G5799 = Greek morphology codes  (these numbers aren't used in this lexicon) 
 - G5800 - G5893 = Greek Synonyms - see http://studybible.info/strongs/G5800  (these numbers aren't used in this lexicon) 
 - G6000 - G6090 = Extra Strongs Numbers in NASB mainly for variants not known to Strong. (they remain the same so it is backward-compatible with NASB) 
 - G6100 - G9979 = Extra Greek from Apostolic Bible Project mainly for LXX words not found in NT (including Greek names that don't occur in the Hebrew) 
 - G6091 - G6099, G9980 - G9999 = Extra Greek for variants which are not included in NASB or Apostolic Bible  
 - G10000 - 19999 = Greek equivalent of Strongs Hebrew numbers for names and transliterated words eg  Abagtha (H0005) = G10005. When there is a NT equivalent, this is the STEP_LexicalTag
 - G20000 - G20199 = Words where  the Full LSJ entry refers to the LXX, but they are not referred to in the AB tagging because they only occur in non-Protestant canons or in MSS other than Vaticanus (used by AB)

Strong numbers	Three sets of numbers are included: eStrong, dStrong & uStrong. A lexicon or tagging system will normally use only one set, depending on its purpose, though it may be useful to keep both dStrong & uStrong. 
	Any record can be deleted if it does not have  a number for the system that is to be used. Each system has different advantages: 
eStrong#	This is the standard Extended Strongs which conforms with the subdivisions of words in BDB (Brown Driver Brigg's lexicon, largely followed by later lexicons). This was done by OS (OpenScriptures.org)
dStrong	This is STEPBible's Disambiguated Strongs which has separate numbers when a  name is used for different people or places, and when a word has significantly different sub-meanings. See TinyURL.com/DisambiguatedStrongs. 
uStrong	This is STEPBible's Unified Strongs  which has a single number for an individual's various  names, and a single number for a word that has different forms or spellings or that has a Hebrew and Aramaic versions. 

For example: 	Strong used G2264 for all three people in the NT named Herod (the Great, Anitipas and Agrippa I), and a different number for "Herodian" which describes Herod Anitipas. 
	eStrong doesn't divide up any names in the NT (like it does in the OT) because eStrong was created to map Strongs to the Hebrew lexicon BDB. 
	dStrong has a unique number for each person: G2264G, G2264H, G2264I. As in the OT, letters start at G when there is no "a" or "b" etc in eStrongs (which never happens in Greek) 
	uStrong has only one unique number for each individual, so a search for that number finds all the places where that person is mentioned however their name is spelled. 
... see more at:	TinyURL.com/STEP-Disambiguated



$========== PERSON(s)																																					
Herod@Mat.2.1=G2264G	King Herod the Great living at the time of the New Testament	=+			Archelaus@Mat.2.22, Herod@Mat.14.1, Philip@Mat.14.3, Philip@Luk.3.1	>	#A man living at the time of the New Testament, first mentioned at Mat.2.1; <br> father of: Ethnarch Herod Archelaus (G0745), Herod Antipas I (G2264H), Herod Philip I (G5376H), Herod Philip II (G5376I)																														
- Named	Herod@Mat.2.1	G2264G«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.2.1;Mat.2.3;Mat.2.7;Mat.2.12;Mat.2.13;Mat.2.15;Mat.2.16;Mat.2.19;Mat.2.22;Luk.1.5;Act.23.35	Mat.2.1; Mat.2.3; Mat.2.7; Mat.2.12; Mat.2.13; Mat.2.15; Mat.2.16; Mat.2.19; Mat.2.22; Luk.1.5; Act.23.35;																																
$========== PERSON(s)																																					
Herod@Mat.14.1=G2264H	Tetrarch Herod Antipas living at the time of the New Testament	Herod@Mat.2.1 +	Archelaus@Mat.2.22, Philip@Mat.14.3, Philip@Luk.3.1	Herodias@Mat.14.3		>	#Tetrarch Herod Antipas I living at the time of the New Testament, first mentioned at Mat.14.1; <br> son of: Herod 'the Great' (G2264G); <br> brother of: Ethnarch Herod Archelaus (G0745), Herod Philip I (G5376H) and Herod Philip II (G5376I); married to Herodias (G2266G)																														
- Named	Herod@Mat.14.1	G2264H«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Mat.14.1;Mat.14.3;Mat.14.6;Mat.14.6;Mar.6.14;Mar.6.16;Mar.6.17;Mar.6.18;Mar.6.20;Mar.6.21;Mar.6.22;Mar.8.15;Luk.3.1;Luk.3.19;Luk.3.19;Luk.8.3;Luk.9.7;Luk.9.9;Luk.13.31;Luk.23.7;Luk.23.7;Luk.23.8;Luk.23.11;Luk.23.12;Luk.23.15;Act.4.27;Act.13.1	Mat.14.1; Mat.14.3; Mat.14.6a; Mat.14.6b; Mrk.6.14; Mrk.6.16; Mrk.6.17; Mrk.6.18; Mrk.6.20; Mrk.6.21; Mrk.6.22; Mrk.8.15; Luk.3.1; Luk.3.19a; Luk.3.19b; Luk.8.3; Luk.9.7; Luk.9.9; Luk.13.31; Luk.23.7a; Luk.23.7b; Luk.23.8; Luk.23.11; Luk.23.12; Luk.23.15; Act.4.27; Act.13.1;																																
- Group	Herod@Mat.14.1	G2265«G2265=Ἡρωδιανοί	Herodian	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herodian*|reference=Mat.22.16;Mar.3.6;Mar.12.13	Mat.22.16; Mrk.3.6; Mrk.12.13;																																
$========== PERSON(s)																																					
Herod@Act.12.1=G2264I	Tetrarch & King Herod Agrippa I living at the time of the New Testament	=+	Herodias@Mat.14.3		Agrippa@Act.25.13	>	#Tetrarch & King Herod Agrippa I living at the time of the New Testament, first mentioned at Act.12.1; <BR> brother of: Herodias (G2266G); father of: Tetrarch Agrippa II (G0067)																														
- Named	Herod@Act.12.1	G2264I«G2264=Ἡρώδης	Herod	https://www.stepbible.org/?q=version=ESV|version=KJV|text=Herod*|reference=Act.12.1;Act.12.6;Act.12.11;Act.12.19;Act.12.20;Act.12.21	Act.12.1; Act.12.6; Act.12.11; Act.12.19; Act.12.20; Act.12.21;																																



* Gloss = a meaning in one word or as few as possible (by Tyndale scholars)

* Greek = unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing. 

* Morph = simple gramatical value of the main word represented as Language:Type-Gender-Extra. 
Language:Type-Gender-Extra. 
Language is A=Aramaic, H=Hebrew, G=Greek and N=Name (which is not language specific). 
Type is A=Adjective, Adv=Adverb, Art=Article, Cond=Conditional, Conj=Conjunction, Cor=Correlative, DemP=Demonstrative Pn, ImpP=Impersonal Pn, Intg=Interogative, Intj=Interjection, N=Noun, Neg=Negative, Part=Particle, Prep=Preposition, PerP=Personal Pn, PosP=Possessive Pn, RefP=Reflexive Pn, RelP=Relative Pn, V=Verb. 
Gender is F=Female, M=Male, N=Neuter, C=Common and P or S is optionally added for Plural Singular
Extra for Names is L=Location, P=Person, LG/PG=Gentilic, T=Title (i.e. any other capitalised nouns such as titles, months, gods, planets etc)

* Meaning = lexical entry. The Brief lexicon uses Abbot-Smith or MiddleLiddel. The LJS lexicon uses the Full LSJ formatted by Tyndale House, Cambridge. Those without attribution have been added by STEPBible. 
(AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
(ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)

Full LSJ - Liddell-Scott-Jones -  from Perseus, with additional features and corrections by Tyndale House, Cambridge:
 - most abbreviations have been expanded, usually in accordance with the introductions to the lexicons but occasionally made clearer. 
 - dates have been added to authors by Tyndale House, using standard reference works. 
 - coding is added to hide bibliographic data under a link stating the earliest date included in that data. (Note, not all devices work well with tooltips, so consider implementing a clickable option such as http://jsfiddle.net/xaAN3/) 


eStrong	dStrong	uStrong	Greek	Transliteration	Morph	Gloss	Abbott-Smith lexicon (AS), with gaps occationally filled from edited versions of  Middle LSJ 
G0037	G0037 =	G0037	ἁγιάζω	hagiazō	G:V	to sanctify	 <b>ἁγιάζω</b>, Hellenistic form of ἁγίζω <BR /> (ἅγιος), <BR /><b>to make holy, consecrate, sanctify</b>; [in LXX chiefly for קדשׁ pi., hi. ;] <BR />__1. <b>to dedicate, separate,  set apart for God</b>; of things: <ref='Mat.23.17,19'>Mat.23:17,19</ref>, <ref='2Ti.2.21'>2Ti.2:21</ref>; of persons: Christ, <ref='Jhn.10.36; 17.19'>Jhn.10:36, 17:19</ref>.<BR /> __2. <b>to purify</b>, <b>make conformable in character to such dedication</b>: forensically, to free from guilt, <ref='1Co.6.11'>1Co.6:11</ref>, <ref='Eph.5.26'>Eph.5:26</ref>, <ref='Heb.2.11; 10.10, 14, 29; 13.12'>Heb.2:11, 10:10, 14, 29, 13:12</ref>; internally, by actual sanctification of life, <ref='Jhn.17.17, 19'>Jhn.17:17, 19</ref>, <ref='Act.20.32; 26.18'>Act.20:32, 26:18</ref>, <ref='Rom.15.16'>Rom.15:16</ref>, <ref='1Co.1.2; 7.14'>1Co.1:2, 7:14</ref>, <ref='1Th.5.23'>1Th.5:23</ref>, <ref='Rev.22.11'>Rev.22:11</ref>; of a nonbeliever influenced by marriage with a Christian, <ref='1Co.7.14.'>1Co.7:14.</ref><BR /> __3. <b>In the intermediate sense of ceremonial or levitical purification</b>: <BR />__(a) of things, <ref='2Ti.2.21'>2Ti.2:21;</ref> <BR /> __(b) of persons, <ref='Heb.9.13.'>Heb.9:13.</ref> <BR /> __4. <b>to treat as holy</b>: <ref='Mat.6.9'>Mat.6:9</ref>, <ref='Luk.11.2'>Luk.11:2</ref>, <ref='1Pe.3.16'>1Pe.3:16</ref> (Cremer, 53, 602; MM, <i>VGT</i>, see word).<BR /> † (AS)
G0038	G0038 =	G0038	ἁγιασμός	hagiasmos	G:N-M	holiness	 <b>ἁγιασμός</b>, -οῦ, ὁ <BR /> (ἁγιάζω), [in LXX: <ref='Ezk.45.4'>Eze.45:4</ref> (מִקְדָּשׁ), <ref='Sir.7.31'>Sir.7:31</ref>, etc. ;] <BR />as an active verbal noun in -μός, it signifies properly the process τὸ ἁγιάζειν, rather than the resultant state, ἁγιωσύνη, hence, <BR />__1. <b>consecration</b>; <BR /> __2. <b>sanctification</b>: so strictly in <ref='Rom.6.19,22'>Rom.6:19,22</ref> (but see Meyer), <ref='1Co.1.30'>1Co.1:30</ref>, <ref='1Th.4.3'>1Th.4:3</ref>,7, <ref='2Th.2.13'>2Th.2:13</ref>, <ref='Heb.12.14'>Heb.12:14</ref>, <ref='1Pe.1.2'>1Pe.1:2</ref>. Elsewhere it perhaps (Ellic.; but see Milligan, <i>Th.</i>, 48) inclines to the resultant state: <ref='1Th.4.4'>1Th.4:4</ref>, <ref='1Ti.2.15'>1Ti.2:15</ref> (Cremer, 55, 602).<BR /> † (AS)
G0039	G0039G = the Greek of	H6944J	ἅγιον	hagion	G:A	Holy Place	 <b>ἅγιος</b>, -α, ον <BR /> (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ ;] <BR />primarily, <b>dedicated to the gods, sacred</b> (Hdt.; rare in Att., never in Hom., Hes. and Trag., who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. <BR />__1. <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: <ref='Luk.1.49'>Luk.1:49</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Rev.4.8'>Rev.4:8</ref>. Hence <BR />__(a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: <ref='Mat.24.15'>Mat.24:15</ref>, <ref='Heb.9.1'>Heb.9:1</ref>; <BR /> __(b) <b>of persons employed by him, as angels</b>: <ref='1Th.3.13'>1Th.3:13;</ref> prophets, <ref='Luk.1.70'>Luk.1:70;</ref> apostles, <ref='Eph.3.5.'>Eph.3:5.</ref> <BR /> __2. <b>Applied to persons as separated to God's service</b>: <BR />__(a) of Christ, <ref='Mrk.1.24'>Mrk.1:24</ref>, <ref='Jhn.6.69'>Jhn.6:69</ref>, <ref='Act.4.30'>Act.4:30</ref>; <BR /> __(b) of Christians, <ref='Act.9.13'>Act.9:13</ref>, <ref='Rom.1.7'>Rom.1:7</ref>, <ref='Heb.6.10'>Heb.6:10</ref>, <ref='Rev.5.8'>Rev.5:8</ref>. <BR /> __3. <b>In the moral sense of sharing God's purity</b>: <ref='Mrk.6.20'>Mrk.6:20</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Act.3.14'>Act.3:14</ref>, <ref='Rev.3.7'>Rev.3:7</ref>.<BR /> __4. <b>Of pure, clean sacrifices and offerings</b>: <ref='1Co.7.14'>1Co.7:14</ref>, <ref='Eph.1.4'>Eph.1:4</ref>. <BR /> <re><i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr., <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f.; Cremer, 34, 594-601; MM, <i>VGT</i>, see word)</re> (AS)
G0039	G0039H = the Greek of	H6944H	ἅγιον	hagion	G:A	Most Holy Place	 <b>ἅγιος</b>, -α, ον <BR /> (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ ;] <BR />primarily, <b>dedicated to the gods, sacred</b> (Hdt.; rare in Att., never in Hom., Hes. and Trag., who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. <BR />__1. <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: <ref='Luk.1.49'>Luk.1:49</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Rev.4.8'>Rev.4:8</ref>. Hence <BR />__(a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: <ref='Mat.24.15'>Mat.24:15</ref>, <ref='Heb.9.1'>Heb.9:1</ref>; <BR /> __(b) <b>of persons employed by him, as angels</b>: <ref='1Th.3.13'>1Th.3:13;</ref> prophets, <ref='Luk.1.70'>Luk.1:70;</ref> apostles, <ref='Eph.3.5.'>Eph.3:5.</ref> <BR /> __2. <b>Applied to persons as separated to God's service</b>: <BR />__(a) of Christ, <ref='Mrk.1.24'>Mrk.1:24</ref>, <ref='Jhn.6.69'>Jhn.6:69</ref>, <ref='Act.4.30'>Act.4:30</ref>; <BR /> __(b) of Christians, <ref='Act.9.13'>Act.9:13</ref>, <ref='Rom.1.7'>Rom.1:7</ref>, <ref='Heb.6.10'>Heb.6:10</ref>, <ref='Rev.5.8'>Rev.5:8</ref>. <BR /> __3. <b>In the moral sense of sharing God's purity</b>: <ref='Mrk.6.20'>Mrk.6:20</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Act.3.14'>Act.3:14</ref>, <ref='Rev.3.7'>Rev.3:7</ref>.<BR /> __4. <b>Of pure, clean sacrifices and offerings</b>: <ref='1Co.7.14'>1Co.7:14</ref>, <ref='Eph.1.4'>Eph.1:4</ref>. <BR /> <re><i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr., <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f.; Cremer, 34, 594-601; MM, <i>VGT</i>, see word)</re> (AS)
G0040	G0040G =	G0040G	ἅγιος	hagios	G:A	holy	 <b>ἅγιος</b>, -α, ον <BR /> (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ ;] <BR />primarily, <b>dedicated to the gods, sacred</b> (Hdt.; rare in Att., never in Hom., Hes. and Trag., who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. <BR />__1. <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: <ref='Luk.1.49'>Luk.1:49</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Rev.4.8'>Rev.4:8</ref>. Hence <BR />__(a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: <ref='Mat.24.15'>Mat.24:15</ref>, <ref='Heb.9.1'>Heb.9:1</ref>; <BR /> __(b) <b>of persons employed by him, as angels</b>: <ref='1Th.3.13'>1Th.3:13;</ref> prophets, <ref='Luk.1.70'>Luk.1:70;</ref> apostles, <ref='Eph.3.5.'>Eph.3:5.</ref> <BR /> __2. <b>Applied to persons as separated to God's service</b>: <BR />__(a) of Christ, <ref='Mrk.1.24'>Mrk.1:24</ref>, <ref='Jhn.6.69'>Jhn.6:69</ref>, <ref='Act.4.30'>Act.4:30</ref>; <BR /> __(b) of Christians, <ref='Act.9.13'>Act.9:13</ref>, <ref='Rom.1.7'>Rom.1:7</ref>, <ref='Heb.6.10'>Heb.6:10</ref>, <ref='Rev.5.8'>Rev.5:8</ref>. <BR /> __3. <b>In the moral sense of sharing God's purity</b>: <ref='Mrk.6.20'>Mrk.6:20</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Act.3.14'>Act.3:14</ref>, <ref='Rev.3.7'>Rev.3:7</ref>.<BR /> __4. <b>Of pure, clean sacrifices and offerings</b>: <ref='1Co.7.14'>1Co.7:14</ref>, <ref='Eph.1.4'>Eph.1:4</ref>. <BR /> <re><i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr., <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f.; Cremer, 34, 594-601; MM, <i>VGT</i>, see word)</re> (AS)
G0040	G0040H = a Meaning of	G0040G	ἅγιος	hagios	G:A	holy: saint	 <b>ἅγιος</b>, -α, ον <BR /> (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ ;] <BR />primarily, <b>dedicated to the gods, sacred</b> (Hdt.; rare in Att., never in Hom., Hes. and Trag., who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. <BR />__1. <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: <ref='Luk.1.49'>Luk.1:49</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Rev.4.8'>Rev.4:8</ref>. Hence <BR />__(a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: <ref='Mat.24.15'>Mat.24:15</ref>, <ref='Heb.9.1'>Heb.9:1</ref>; <BR /> __(b) <b>of persons employed by him, as angels</b>: <ref='1Th.3.13'>1Th.3:13;</ref> prophets, <ref='Luk.1.70'>Luk.1:70;</ref> apostles, <ref='Eph.3.5.'>Eph.3:5.</ref> <BR /> __2. <b>Applied to persons as separated to God's service</b>: <BR />__(a) of Christ, <ref='Mrk.1.24'>Mrk.1:24</ref>, <ref='Jhn.6.69'>Jhn.6:69</ref>, <ref='Act.4.30'>Act.4:30</ref>; <BR /> __(b) of Christians, <ref='Act.9.13'>Act.9:13</ref>, <ref='Rom.1.7'>Rom.1:7</ref>, <ref='Heb.6.10'>Heb.6:10</ref>, <ref='Rev.5.8'>Rev.5:8</ref>. <BR /> __3. <b>In the moral sense of sharing God's purity</b>: <ref='Mrk.6.20'>Mrk.6:20</ref>, <ref='Jhn.17.11'>Jhn.17:11</ref>, <ref='Act.3.14'>Act.3:14</ref>, <ref='Rev.3.7'>Rev.3:7</ref>.<BR /> __4. <b>Of pure, clean sacrifices and offerings</b>: <ref='1Co.7.14'>1Co.7:14</ref>, <ref='Eph.1.4'>Eph.1:4</ref>. <BR /> <re><i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr., <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f.; Cremer, 34, 594-601; MM, <i>VGT</i>, see word)</re> (AS)
G0041	G0041 =	G0041	ἁγιότης	hagiotēs	G:N-F	holiness	 <b>ἁγιότης</b>, -ητος, ἡ <BR /> (ἅγιος), [in LXX: <ref='2Ma.15.2'>2Ma.15:2</ref> * ;] <BR /><b>sanctity</b>, <b>holiness</b>, <b>regarded, properly, as an abstract quality </b>(see next word, and cf. Lft. Notes, 49; MM, <i>VGT</i>, see word): <ref='2Co.1.12'>2Co.1:12</ref>, <ref='Heb.12.10'>Heb.12:10</ref>.†<BR /> (AS)
G0042	G0042 =	G0042	ἁγιωσύνη	hagiōsunē	G:N-F	holiness	 <b>ἁγιωσύνη</b> (cf. ἀγαθωσύνη), -ης, ἡ <BR /> (ἅγιος), [in LXX: Psa.29 (30):4 96(97):12 (קֹדֶשׁ), 95(96):6 (עֹז), 144(145):5 (הוֹד), <ref='2Ma.3.12'>2Ma.3:12</ref> * ;] <BR /><b>holiness</b>, the state in man resulting from ἁγιασμός, which see: <ref='Rom.1.4'>Rom.1:4</ref>, <ref='2Co.7.1'>2Co.7:1</ref>, <ref='1Th.3.13'>1Th.3:13</ref> (Cremer, 52; MM, <i>VGT</i>, see word).†<BR /> (AS)
G0043	G0043 =	G0043	ἀγκάλη	agkalē	G:N-F	arm	 <b>ἀγκάλη,-ης, ἡ</b> <BR /> (ἄγκος, <b>a bend</b>), [in LXX for אַצִּיל, חֵיק ;] <BR /><b>the bent arm</b>: <ref='Luk.2.28'>Luk.2:28</ref> (cf. ἐναγκαλίζομαι).†<BR /> (AS)
G0044	G0044 =	G0044	ἄγκιστρον	agkistron	G:N-N	fishhook	 <b>ἄγκιστρον</b>, -ου, τό <BR /> (ἄγκος, a bend), [in LXX חַכָּה, etc. ;] <BR /><b>a fish-hook</b>: <ref='Mat.17.27.'>Mat.17:27.</ref>†<BR /> (AS)
G0045	G0045 =	G0045	ἄγκυρα	agkura	G:N-F	anchor	 <b>ἄγκυρα</b>, -ας, ἡ (ἄγκος, a bend), [in Sm.: <ref='Jer.52.18'>Jer.52:18</ref> * ;]<BR /> <b>an anchor</b>: <ref='Act.27.29, 30, 40'>Act.27:29, 30 40</ref> ; figuratively (MM, <i>VGT</i>, see word), <ref='Heb.6.19.'>Heb.6:19.</ref>†<BR /> (AS)
G0046	G0046 =	G0046	ἄγναφος	agnaphos	G:A	unshrunk	 <b>ἄγναφος</b>, -ον (= ἄγναπτος, γνάπτω, late form of κνάπτω, <b>to card wool</b>), <BR /> <b>uncarded, undressed</b>, i.e. new (MM, <i>VGT</i>, see word): <ref='Mat.92.6'>Mat.92:6</ref>, <ref='Mrk.2.21'>Mrk.2:21</ref>.†<BR /> (AS)
G0047	G0047 =	G0047	ἁγνεία	hagneia	G:N-F	purity	 <b>ἁγνεία</b> (WH, ἁγνία), <BR /> [in LXX for טָהֳרָה, נָזִיר, נֶזֶר, etc. ;] <BR /><b>purity</b>: <ref='1Ti.4.12; 5.2'>1Ti.4:12, 5:2</ref> (Cremer, 58. For exx. of ceremonial use in π., see MM, <i>Exp.</i>, iv).†<BR /> (AS)
G0048	G0048 =	G0048	ἁγνίζω	hagnizō	G:V	to purify	 <b>ἁγνίζω</b> (&gt; ἁγνός), <BR /> [in LXX always ceremonially, chiefly for קָדַשׁ ;] <BR /> <b>to purify</b>, <b>cleanse from defilement</b>; <BR />__(a) <b>ceremonially</b>: <ref='Jhn.11.55'>Jhn.11:55</ref>, <ref='Act.21.24, 26; 24.18'>Act.21:24, 26 24:18</ref>; <BR /> __(b) <b>morally</b>: <ref='Jas.4.8'>Jas.4:8</ref>, <ref='1Pe.1.22'>1Pe.1:22</ref>, <ref='1Jn.3.3.'>1Jn.3:3.</ref><BR /> † <re><i>SYN.</i>: καθαρίζω, which see (and see: ἁγνός).</re> (AS)
G0049	G0049 =	G0049	ἁγνισμός	hagnismos	G:N-M	purification	 <b>ἁγνισμός</b>, -οῦ, ὁ (&gt; ἁγνίζω), <BR /> [in LXX: <ref='Num.6.5'>Num.6:5</ref> (נֵזֶר) 8:7 19:17 (חַטָּאָה), etc. ;] <BR /><b>purification</b>: in ceremonial sense, <ref='Act.21.26'>Act.21:26</ref> (LXX).†<BR /> (AS)
G0050	G0050 =	G0050	ἀγνοέω	agnoeō	G:V	be ignorant	 <b>ἀγνοέω</b>, -ῶ (&gt; ἁγνίζω), <BR /> [in LXX for שָׁגָה, שָׁגַג, אָשַׁם, etc. ;] <BR /> __1. <b>to be ignorant</b>, <b>not to know</b>: absol., Ι <ref='Tit.1.13'>Ti 1:13</ref>, <ref='Heb.5.2'>Heb.5:2</ref>; with accusative, <ref='Act.13.27; 17.23'>Act.13:27 17:23</ref>, <ref='Rom.10.3'>Rom.10:3</ref>, <ref='2Co.2.11'>2Co.2:11</ref>; ἐν οἷς, <ref='2Pe.2.12'>2Pe.2:12;</ref> before ὅτι, <ref='Rom.2.4; 6.3; 7.1'>Rom.2:4 6:3 7:1</ref>, <ref='1Co.14.38'>1Co.14:38</ref>; οὐ θέλω ὑμᾶς ἀγνοεῖν, <b>a Pauline phrase</b>: with accusative, <ref='Rom.11.25'>Rom.11:25;</ref> before ὑπέρ, <ref='2Co.1.8'>2Co.1:8;</ref> περί, <ref='1Co.12.1'>1Co.12:1</ref>, <ref='1Th.4.13'>1Th.4:13</ref>. ὅτι, <ref='Rom.1.13'>Rom.1:13</ref>, <ref='1Co.10.1'>1Co.10:1</ref> (for similar usage in π., V. MM, <i>VGT</i>, see word). Pass.: <ref='1Co.14.38'>1Co.14:38</ref>, <ref='2Co.6.9'>2Co.6:9</ref>, <ref='Gal.1.22'>Gal.1:22</ref>.<BR /> __2. <b>not to understand</b>: with accusative, <ref='Mrk.9.32'>Mrk.9:32</ref>, <ref='Luk.9.45'>Luk.9:45</ref>.<BR /> † (AS)
G0051	G0051 =	G0051	ἀγνόημα	agnoēma	G:N-N	error	 <b>ἀγνόημα</b>, -τός, τό <BR /> (ἀγνοέω), [in LXX: <ref='Gen.43.12'>Gen.43:12</ref> (מִשְׁגֶּה), <ref='Tob.3.3'>Tob.3:3</ref>, <ref='Jdt.5.20'>Jdth.5:20</ref>, <ref='Sir.23.2; 51.19'>Sir.23:2 51:19</ref>, <ref='1Ma.13.39'>1Ma.13:39</ref> * ;] <BR /><b>a sin of ignorance</b> (so in π.; see MM, <i>VGT</i>, see word): <ref='Heb.9.7.'>Heb.9:7.</ref>†<BR /> (AS)
