TAGNT Mat-Jhn - Translators Amalgamated Greek NT -  STEPBible.org CC BY 4.0
TAGNT Act-Rev - Translators Amalgamated Greek NT -  STEPBible.org CC BY 4.0
(This is saved as 2  files because a single file too large for Hithub)
=================================================
All the words from standard Greek editions (NA27/28, TR, SBL, TH, Byz, WH, Treg) with translations, grammar, sources & variants marked with significance
=================================================================================================
Further explanation at: 	https://docs.google.com/document/d/1a24mPFzfAEkDbGvNXvmTzVk5NawntoEozYYAgzM5VmE/preview	
Spreadsheet version at: 	https://docs.google.com/spreadsheets/d/16Y1OCgWcqZndmWP3CA3YfYMPjwxIRb0UMQt-cSS8Wdw/edit#gid=0	
Word version at:	https://drive.google.com/file/d/1kSPJdBuRARV8bNIMK0T1B5MomWnL77ak/view?usp=sharing

	==============================================================												
	Data created by www.STEPBible.org based on work at Tyndale House Cambridge (CC BY 4.0)												
	==============================================================												
	This licence allows you to:												
	* Include any part of this data in software or publications without requesting permission 												
	* Download the data and reformat it for your application, without changing the data												
	* Send any proposed corrections to STEPBibleATGmail.com. to be verified 												
	  (You MAY make changes yourself, but you should include a note of changes that can be viewed by those who use your new data)												
	* Refer others to github.com/STEPBible as the source of the data. Please do not redistribute it yourself. 												
	  (Updates or corrections are easier to implement when the data is distributed from a single source)												
	* We'd love to hear about your project when you make it available. Email us at STEPBibleATGmail.com..												
	==============================================================												

=======================================================================

Summary of words included in the Amalgamated Greek NT:
=====================================
WORD TYPES:	USAGE IN BIBLES			EDITIONS				
=NA same TR	133304 words are translated in both traditional KJV and modern Bibles.			NA27/28 + TR + others all having the same meaning				
=NA diff TR	3922 words may translate differently in traditional and modern Bibles.			NA27/28 + others having the same meaning but there are.also .. 				| Variants = different meanings in TR + others
=NA not TR	761 words are translated in most modern Bibles but not in the KJV.			NA27/28 + others having the same meaning but not TR				
=TR+NIV/ESV not NA	227 words are translated in the KJV and in some modern Bibles.			TR + others having the same meaning but not NA27/28				
=TR not NA,NIV/ESV	3573 words are translated in the KJV but not in most modern Bibles.			TR + others having the same meaning but not NA27/28				
Not in NA or TR	245 words occur in early manuscripts but not translated in most Bibles.			Others having a word that is not found in TR or NA27/28				


FIELD DESCRIPTIONS:
==============

Ref: Versification used by SBL and all modern texts. Significantly different from KJV at Mat.17.14; 20.4; Mrk.3.19; 12.15; Luk.1.74; 6.17; 7.19; Act.2.10; 3.19; 4.6; 5.40; 9.29; 13.39; 19.41; 24.18; Rom.7.9; 9.11; 2Co.1.6; 8.13; 10.5; 13.13; 13.14; Gal.2.20; Eph.1.11; 2.15; 5.13; Php.2.8; Col.1.21; 1Th.1.3; 2.6; 2.11; Heb.3.9; 7.21; 12.23; 1Pe.3.15; Rev.2.27; 13.1; 17.10; 
Word Type: Source of the word, privileging NA, then TR. 
Greek: spelling based on NA28 for NA, then TR if not in NA, then other Eds if in neither.  Cases and final accents based on the punctuation which follows THGHT
English is based on Berean Study Bible, with permission, as at 1-July02019. This covered only NA words. Others supplied by Tyndale scholars, and the complete work was unified in many ways. 
Extended Strong: Extended with words not used in the KJV. Backwardly compatible with standard Strongs and NASB tagging, as defined in the Brief Lexicon at https://STEPBible\.github.io/STEPBible-Data/
Morphology: Based on James Tuaber, with addtional details by Tyndale scholars: persons added to Personal, Reflexive and Possessive pronouns; distinguish 2nd verbal forms (e.g. 2nd Aorist); distinguished betweeen "Passive", "Either middle or Passive", "Deponent"
 - some changes have been made, including: 
	ἐμοῦ  A-GSMN => P-1GS @ Jhn.016.015
	ευθυς =G2117 A-MNSM "straight" => G2112 ADV "immediately" @ Mat.003.016; Mat.013.20; Mat.013.21; Mrk.001.012; Mrk.001.028; Jhn.013.032; Jhn.019.034; Jhn.021.003
	V-PAI-3P changed to V-PAP-DPM except for  εισι[ν] (G1510) which is V-PAI-3P while οὖσι[ν] (G1510) is V-PAP-DPM
	τίς etc changed from I-NSM etc to X-MNSM etc at Act.025.014; 1Co.010.019; Heb.010.025, 27, 28; 11.040; 12.15x2, 16; 13.002; Jas.001.005, 7, 18, 23, 26; 2.014, 16, 18; 3.002; 5.013x2, 14x2; 5.019x2; 1Pe.002.019
	G4302 changed to G4277 when προειπον  is used, ie 45_Act.001.016-A, 49_Gal.005.021-A, 53_1Th.004.006-A
	G4302 changed to G4280 when προερέω is used, ie 41_Mat.024.025-A, 42_Mrk.013.023-INSTW, 42_Mrk.013.023-B, 46_Rom.009.029-A, 48_2Co.007.003-A, 48_2Co.013.002-A, 49_Gal.001.009-A, 59_Heb.004.007-IMNSTW, 59_Heb.010.015-B, 62_2Pe.003.002-A, 66_Jud.001.017-A, 
	ποῦ =G4225 => G4226 at 42_Mrk.015.047-A, 44_Jhn.001.039-A, 63_1Jn.002.011-A
Lexical form & Gloss: from the TBESG - Tyndale Brief lexicon of Extended Strongs for Greek at https://STEPBible\.github.io/STEPBible-Data/
Editions: those which use the same letters, though they may be accented or capitalised differently. Byz=Byzantine based on RP;  NA27=Nestle-Aland 27th ed; NA28 2012 (this is NOT the same as ECM Acts - see eg Act.1.10 ἐσθῆτι in ECM); TR= Textus Receptus; SBL= SBLGNT; Treg= Tregelles; WH= WH;  Tyn= Tyndale House GNT. 
Spanish is based on  Marvel Bible Project as on 9-Jan-2019 from https://github.com/eliranwong/OpenGNT/blob/master/OpenGNT_BASE_TEXT.zip &  OpenGNT_keyedFeatures.csv.zip. This was available only for words in NA28. Other words are supplied by Tyndale scholars.
Sub-meanings: words with more than one meaning are supplied with a context-sensitive sub-meaning. Individuals and Places are identified as in TIPNR. Other are based on CSG (Context Sensitive Gloss) from Marvel Bible Project as at 9-Jan-2019 from https://github.com/eliranwong/OpenGNT/blob/master/OpenGNT_BASE_TEXT.zip &  OpenGNT_keyedFeatures.csv.zip. This was available only for words in NA28. Other words are supplied by Tyndale House who also edited the CSG for words where sub-meanings  were not sufficiently detailed. 
Conjoined data: links words that might not be translated (eg articles and particles) with the word they are connected to, which are often separated by several other words. 


Reference + word	Word #	Greek	English Translation	Strongs	Grammar	Dictionary form	English gloss	Editions		Spelling variants	Meaning variants	Spanish Translation	Sub-meaning	Super-meaning	Conjoin word
41_Mat.025.022	=NA same TR ~~	τάλαντα	talents,	G5007	N-APN	τάλαντον	talent	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τάλαντα		talentos	talents			
41_Mat.025.022	=TR not NA or NIV/ESV «»	λαβὼν	having taken	G2983	V-2AAP-NSM	λαμβάνω	to take	TR+Byz	λαβὼν		habiendo tomado	to take			
41_Mat.025.022	=NA same TR ~~	εἶπεν·	he said,	G2036	V-2AAI-3S	ἔπω, ἐρῶ, εἶπον	to say	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	εἶπεν		dijo	to say			
41_Mat.025.022	=NA same TR ~~	κύριε,	Master,	G2962	N-VSM	κύριος	lord	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	κύριε		Señor	lord§2_master			
41_Mat.025.022	=NA same TR ~~	δύο	two	G1417	A-APN-NUI	δύο	two	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	δύο		dos	two			
41_Mat.025.022	=NA same TR ~~	τάλαντά	talents	G5007	N-APN	τάλαντον	talent	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τάλαντά		talentos	talents			
41_Mat.025.022	=NA same TR ~~	μοι	to me	G1473	P-1DS	ἐγώ	I/we	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	μοι		a mí	to me		»026:G3860	
41_Mat.025.022	=NA same TR ~~	παρέδωκας·	you did deliver.	G3860	V-AAI-2S	παραδίδωμι	to deliver	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	παρέδωκας		entregaste	to deliver			
41_Mat.025.022	=NA same TR ~~	ἴδε	Behold,	G2396	INJ	ἴδε	look!	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἴδε		mira	look!			
41_Mat.025.022	=NA same TR ~~	ἄλλα	more	G0243	A-APN	ἄλλος	another	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἄλλα		otros	another			
41_Mat.025.022	=NA same TR ~~	δύο	two	G1417	A-APN-NUI	δύο	two	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	δύο		dos	two			
41_Mat.025.022	=NA same TR ~~	τάλαντα	talents	G5007	N-APN	τάλαντον	talent	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τάλαντα		talentos	talent			
41_Mat.025.022	=NA same TR ~~	ἐκέρδησα	I gained	G2770	V-AAI-1S	κερδαίνω	to gain	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἐκέρδησα		gané	to gain			
41_Mat.025.022	=TR not NA or NIV/ESV «»	ἐπ᾽	upon	G1909	PREP	ἐπί	upon/to/against	TR+Byz	ἐπ᾽		sobre	upon			
41_Mat.025.022	=TR not NA or NIV/ESV «»	αὐτοῖς.	them.	G0846	P-DPN	αὐτός	he/she/it/self	TR+Byz	αὐτοῖς		ellos	to them		«03602:G1909	
															
															
# Mat.25.23	ἔφη	αὐτῷ	ὁ	κύριος	αὐτοῦ·	εὖ,	δοῦλε	ἀγαθὲ	καὶ	πιστέ,	ἐπὶ				
#_Translation	was saying	to him	the	master	of Him,	Well done,	servant	good	and	faithful!	Over				
#_Word=Grammar	G5346=V-IAI-3S	G0846=P-DSM	G3588=T-NSM	G2962=N-NSM	G0846=P-GSM	G2095=ADV	G1401=N-VSM	G0018=A-VSM	G2532=CONJ	G4103=A-VSM	G1909=PREP				
#_Non-NA variants															
#_Mat.25.23 cont.	ὀλίγα	ἦς	πιστός,	ἐπὶ	πολλῶν	σε	καταστήσω.	εἴσελθε	εἰς	τὴν	χαρὰν				
#_Translation	a few things	you were	faithful;	over	many things	you	will I set.	do enter	into	the	joy				
#_Word=Grammar	G3641=A-APN	G1510=V-IAI-2S	G4103=A-NSM	G1909=PREP	G4183=A-GPN	G4771=P-2AS	G2525=V-FAI-1S	G1525=V-2AAM-2S	G1519=PREP	G3588=T-ASF	G5479=N-ASF				
#_Non-NA variants															
#_Mat.25.23 cont.	τοῦ	κυρίου	σου.												
#_Translation	of the	master	of you!												
#_Word=Grammar	G3588=T-GSM	G2962=N-GSM	G4771=P-2GS												
#_Non-NA variants															
#_REFERENCE	WORD TYPE	GREEK	ENGLISH TRANSLATION	STRONGS	GRAMMAR	DICTIONARY FORM	GLOSS	EDITIONS	SPELLING VARIANTS	MEANING VARIANTS	SPANISH TRANSLATION	SUB-MEANING	SUPER-MEANING	CONJOIN WORD	
41_Mat.025.023	=NA same TR ~~	ἔφη	was saying	G5346	V-IAI-3S	φημί	to say	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἔφη		Estaba diciendo	to say			
41_Mat.025.023	=NA same TR ~~	αὐτῷ	to him	G0846	P-DSM	αὐτός	he/she/it/self	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	αὐτῷ		a él	to him		«002:G5346	
41_Mat.025.023	=NA same TR ~~	ὁ	the	G3588	T-NSM	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ὁ		el	the		»008:G2962	
41_Mat.025.023	=NA same TR ~~	κύριος	master	G2962	N-NSM	κύριος	lord	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	κύριος		amo	lord§2_master			
41_Mat.025.023	=NA same TR ~~	αὐτοῦ·	of Him,	G0846	P-GSM	αὐτός	he/she/it/self	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	αὐτοῦ		de él	of him		«008:G2962	
41_Mat.025.023	=NA same TR ~~	εὖ,	Well done,	G2095	ADV	εὖ	well/well done!	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	εὖ		Bien	well done!			
41_Mat.025.023	=NA same TR ~~	δοῦλε	servant	G1401	N-VSM	δοῦλος	slave	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	δοῦλε		esclavo	slave			
41_Mat.025.023	=NA same TR ~~	ἀγαθὲ	good	G0018	A-VSM	ἀγαθός	good-doer	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἀγαθὲ		bueno	good-doer			
41_Mat.025.023	=NA same TR ~~	καὶ	and	G2532	CONJ	καί	and	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	καὶ		y	and			
41_Mat.025.023	=NA same TR ~~	πιστέ,	faithful!	G4103	A-VSM	πιστός	faithful	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	πιστέ		fiel	faithful			
41_Mat.025.023	=NA same TR ~~	ἐπὶ	Over	G1909	PREP	ἐπί	upon/to/against	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἐπὶ		sobre	with			
41_Mat.025.023	=NA same TR ~~	ὀλίγα	a few things	G3641	A-APN	ὀλίγος	little/few	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ὀλίγα		pocas (cosas)	few			
41_Mat.025.023	=NA same TR ~~	ἦς	you were	G1510	V-IAI-2S	εἰμί	to be	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἦς		estabas siendo	to be			
41_Mat.025.023	=NA same TR ~~	πιστός,	faithful;	G4103	A-NSM	πιστός	faithful	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	πιστός		fiel	faithful			
41_Mat.025.023	=NA same TR ~~	ἐπὶ	over	G1909	PREP	ἐπί	upon/to/against	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἐπὶ		sobre	upon			
41_Mat.025.023	=NA same TR ~~	πολλῶν	many things	G4183	A-GPN	πολύς	much	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	πολλῶν		de muchas (cosas)	many			
41_Mat.025.023	=NA same TR ~~	σε	you	G4771	P-2AS	σύ	you	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	σε		a ti	you		»036:G2525	
41_Mat.025.023	=NA same TR ~~	καταστήσω.	will I set.	G2525	V-FAI-1S	καθίστημι	to appoint/conduct	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	καταστήσω		pondré de pie hacia abajo	to appoint			
41_Mat.025.023	=NA same TR ~~	εἴσελθε	do enter	G1525	V-2AAM-2S	εἰσέρχομαι	to enter	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	εἴσελθε		ven hacia dentro	to enter			
41_Mat.025.023	=NA same TR ~~	εἰς	into	G1519	PREP	εἰς	toward	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	εἰς		a	toward			
41_Mat.025.023	=NA same TR ~~	τὴν	the	G3588	T-ASF	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τὴν		el	the		»044:G5479	
41_Mat.025.023	=NA same TR ~~	χαρὰν	joy	G5479	N-ASF	χαρά	joy	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	χαρὰν		regocijo	joy			
41_Mat.025.023	=NA same TR ~~	τοῦ	of the	G3588	T-GSM	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τοῦ		de el	the		»048:G2962	
41_Mat.025.023	=NA same TR ~~	κυρίου	master	G2962	N-GSM	κύριος	lord	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	κυρίου		amo	lord§2_master			
41_Mat.025.023	=NA same TR ~~	σου.	of you!	G4771	P-2GS	σύ	you	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	σου		de ti	of you		«048:G2962	
															
															
# Mat.25.24	προσελθὼν	δὲ	καὶ	ὁ	τὸ	ἓν	τάλαντον	εἰληφὼς	εἶπεν·	κύριε,	ἔγνων				
#_Translation	Having come	then	also	the [one]	the	one	talent	having received	he said,	Master,	I knew				
#_Word=Grammar	G4334=V-2AAP-NSM	G1161=CONJ	G2532=CONJ	G3588=T-NSM	G3588=T-ASN	G1520=A-ASN	G5007=N-ASN	G2983=V-2RAP-NSM	G2036=V-2AAI-3S	G2962=N-VSM	G1097=V-2AAI-1S				
#_Non-NA variants															
#_Mat.25.24 cont.	σε	ὅτι	σκληρὸς	εἶ	ἄνθρωπος	θερίζων	ὅπου	οὐκ	ἔσπειρας	καὶ	συνάγων				
#_Translation	you,	that	hard	you are	a man,	reaping	where	not	you did sow,	and	gathering				
#_Word=Grammar	G4771=P-2AS	G3754=CONJ	G4642=A-NSM	G1510=V-PAI-2S	G0444=N-NSM	G2325=V-PAP-NSM	G3699=CONJ	G3756=PRT-N	G4687=V-AAI-2S	G2532=CONJ	G4863=V-PAP-NSM				
#_Non-NA variants															
#_Mat.25.24 cont.	ὅθεν	οὐ	διεσκόρπισας·												
#_Translation	from where	not	you did scatter.												
#_Word=Grammar	G3606=CONJ	G3756=PRT-N	G1287=V-AAI-2S												
#_Non-NA variants															
#_REFERENCE	WORD TYPE	GREEK	ENGLISH TRANSLATION	STRONGS	GRAMMAR	DICTIONARY FORM	GLOSS	EDITIONS	SPELLING VARIANTS	MEANING VARIANTS	SPANISH TRANSLATION	SUB-MEANING	SUPER-MEANING	CONJOIN WORD	
41_Mat.025.024	=NA same TR ~~	προσελθὼν	Having come	G4334	V-2AAP-NSM	προσέρχομαι	to come near/agree	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	προσελθὼν		Habiendo venido hacia	to come near			
41_Mat.025.024	=NA same TR ~~	δὲ	then	G1161	CONJ	δέ	but/and	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	δὲ		pero	and			
41_Mat.025.024	=NA same TR ~~	καὶ	also	G2532	CONJ	καί	and	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	καὶ		también	and			
41_Mat.025.024	=NA same TR ~~	ὁ	the [one]	G3588	T-NSM	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ὁ		el	the		»018:G2036	
41_Mat.025.024	=NA same TR ~~	τὸ	the	G3588	T-ASN	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τὸ		a el	the		»014:G5007	
41_Mat.025.024	=NA same TR ~~	ἓν	one	G1520	A-ASN	εἷς	one	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἓν		uno	one			
41_Mat.025.024	=NA same TR ~~	τάλαντον	talent	G5007	N-ASN	τάλαντον	talent	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τάλαντον		talento	talent			
41_Mat.025.024	=NA same TR ~~	εἰληφὼς	having received	G2983	V-2RAP-NSM	λαμβάνω	to take	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	εἰληφὼς		ha recibido	to take			
41_Mat.025.024	=NA same TR ~~	εἶπεν·	he said,	G2036	V-2AAI-3S	ἔπω, ἐρῶ, εἶπον	to say	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	εἶπεν		dijo	to say			
41_Mat.025.024	=NA same TR ~~	κύριε,	Master,	G2962	N-VSM	κύριος	lord	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	κύριε		Amo	lord§2_master			
41_Mat.025.024	=NA same TR ~~	ἔγνων	I knew	G1097	V-2AAI-1S	γινώσκω	to know	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἔγνων		conocí	to know			
41_Mat.025.024	=NA same TR ~~	σε	you,	G4771	P-2AS	σύ	you	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	σε		a ti	you		«022:G1097	
41_Mat.025.024	=NA same TR ~~	ὅτι	that	G3754	CONJ	ὅτι	that/since	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ὅτι		que	that§1_that		«022:G1097	
41_Mat.025.024	=NA same TR ~~	σκληρὸς	hard	G4642	A-NSM	σκληρός	hard	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	σκληρὸς		duro	hard			
41_Mat.025.024	=NA same TR ~~	εἶ	you are	G1510	V-PAI-2S	εἰμί	to be	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	εἶ		estás siendo	to be			
41_Mat.025.024	=NA same TR ~~	ἄνθρωπος	a man,	G0444	N-NSM	ἄνθρωπος	a human	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἄνθρωπος		hombre	a human			
41_Mat.025.024	=NA same TR ~~	θερίζων	reaping	G2325	V-PAP-NSM	θερίζω	to reap	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	θερίζων		estando segando	to reap			
41_Mat.025.024	=NA same TR ~~	ὅπου	where	G3699	CONJ	ὅπου	where(-ever)	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ὅπου		donde	where(-ever)			
41_Mat.025.024	=NA same TR ~~	οὐκ	not	G3756	PRT-N	οὐ	no	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	οὐκ		no	no			
41_Mat.025.024	=NA same TR ~~	ἔσπειρας	you did sow,	G4687	V-AAI-2S	σπείρω	to sow	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἔσπειρας		habiendo sembrado	to sow			
41_Mat.025.024	=NA same TR ~~	καὶ	and	G2532	CONJ	καί	and	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	καὶ		y	and			
41_Mat.025.024	=NA same TR ~~	συνάγων	gathering	G4863	V-PAP-NSM	συνάγω	to assemble	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	συνάγων		estando recogiendo	to assemble			
41_Mat.025.024	=NA same TR ~~	ὅθεν	from where	G3606	CONJ	ὅθεν	whence	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ὅθεν		de donde	whence			
41_Mat.025.024	=NA same TR ~~	οὐ	not	G3756	PRT-N	οὐ	no	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	οὐ		no	no			
41_Mat.025.024	=NA same TR ~~	διεσκόρπισας·	you did scatter.	G1287	V-AAI-2S	διασκορπίζω	to scatter	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	διεσκόρπισας		habiendo esparcido	to scatter			
															
															
# Mat.25.25	καὶ	φοβηθεὶς	ἀπελθὼν	ἔκρυψα	τὸ	τάλαντόν	σου	ἐν	τῇ	γῇ·	ἴδε				
#_Translation	And	having been afraid,	having gone away,	I hid	the	talent	of you	in	the	ground.	Behold,				
#_Word=Grammar	G2532=CONJ	G5399=V-AOP-NSM	G0565=V-2AAP-NSM	G2928=V-2AAI-1S	G3588=T-ASN	G5007=N-ASN	G4771=P-2GS	G1722=PREP	G3588=T-DSF	G1093=N-DSF	G2396=INJ				
#_Non-NA variants															
#_Mat.25.25 cont.	ἔχεις	τὸ	σόν.												
#_Translation	you have	what [is]	yours.												
#_Word=Grammar	G2192=V-PAI-2S	G3588=T-ASN	G4674=S-2SASN												
#_Non-NA variants															
#_REFERENCE	WORD TYPE	GREEK	ENGLISH TRANSLATION	STRONGS	GRAMMAR	DICTIONARY FORM	GLOSS	EDITIONS	SPELLING VARIANTS	MEANING VARIANTS	SPANISH TRANSLATION	SUB-MEANING	SUPER-MEANING	CONJOIN WORD	
41_Mat.025.025	=NA same TR ~~	καὶ	And	G2532	CONJ	καί	and	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	καὶ		Y	and			
41_Mat.025.025	=NA same TR ~~	φοβηθεὶς	having been afraid,	G5399	V-AOP-NSM	φοβέω	to fear	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	φοβηθεὶς		habiendo temido	to fear			
41_Mat.025.025	=NA same TR ~~	ἀπελθὼν	having gone away,	G0565	V-2AAP-NSM	ἀπέρχομαι	to go away	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἀπελθὼν		habiendo venido desde	to go away			
41_Mat.025.025	=NA same TR ~~	ἔκρυψα	I hid	G2928	V-2AAI-1S	κρύπτω	to hide	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἔκρυψα		escondí	to hide			
41_Mat.025.025	=NA same TR ~~	τὸ	the	G3588	T-ASN	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τὸ		el	the		»012:G5007	
41_Mat.025.025	=NA same TR ~~	τάλαντόν	talent	G5007	N-ASN	τάλαντον	talent	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τάλαντόν		talento	talent			
41_Mat.025.025	=NA same TR ~~	σου	of you	G4771	P-2GS	σύ	you	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	σου		de ti	your		«012:G5007	
41_Mat.025.025	=NA same TR ~~	ἐν	in	G1722	PREP	ἐν	in/on/among	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἐν		en	in			
41_Mat.025.025	=NA same TR ~~	τῇ	the	G3588	T-DSF	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τῇ		la	the		»020:G1093	
41_Mat.025.025	=NA same TR ~~	γῇ·	ground.	G1093	N-DSF	γῆ	earth	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	γῇ		tierra	earth§1_soil			
41_Mat.025.025	=NA same TR ~~	ἴδε	Behold,	G2396	INJ	ἴδε	look!	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἴδε		mira	look!			
41_Mat.025.025	=NA same TR ~~	ἔχεις	you have	G2192	V-PAI-2S	ἔχω	to have/be	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	ἔχεις		estás teniendo	to have			
41_Mat.025.025	=NA same TR ~~	τὸ	what [is]	G3588	T-ASN	ὁ	the/this/who	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	τὸ		lo	the [thing]		»	
41_Mat.025.025	=NA same TR ~~	σόν.	yours.	G4674	S-2SASN	σός	your	NA27+NA28+Tyn+SBL+WH+Treg+TR+Byz+NIV	σόν		tuyo	your		«026:G3588	
															
															
# Mat.25.26	ἀποκριθεὶς	δὲ	ὁ	κύριος	αὐτοῦ	εἶπεν	αὐτῷ·	πονηρὲ	δοῦλε	καὶ	ὀκνηρέ,				
#_Translation	answering	now,	the	master	of him	said	to him,	Wicked	servant	and	lazy!				
#_Word=Grammar	G0611=V-AOP-NSM	G1161=CONJ	G3588=T-NSM	G2962=N-NSM	G0846=P-GSM	G2036=V-2AAI-3S	G0846=P-DSM	G4190=A-VSM	G1401=N-VSM	G2532=CONJ	G3636=A-VSM				
#_Non-NA variants															
#_Mat.25.26 cont.	ᾔδεις	ὅτι	θερίζω	ὅπου	οὐκ	ἔσπειρα	καὶ	συνάγω	ὅθεν	οὐ	διεσκόρπισα;				
#_Translation	You knew	that	I reap	where	not	I sowed,	and	gather	from where	not	I scattered.				
#_Word=Grammar	G1492=V-2LAI-2S	G3754=CONJ	G2325=V-PAI-1S	G3699=CONJ	G3756=PRT-N	G4687=V-AAI-1S	G2532=CONJ	G4863=V-PAI-1S	G3606=CONJ	G3756=PRT-N	G1287=V-AAI-1S				
#_Non-NA variants															
#_REFERENCE	WORD TYPE	GREEK	ENGLISH TRANSLATION	STRONGS	GRAMMAR	DICTIONARY FORM	GLOSS	EDITIONS	SPELLING VARIANTS	MEANING VARIANTS	SPANISH TRANSLATION	SUB-MEANING	SUPER-MEANING	CONJOIN WORD	
